Task,Scrambled_Status,Name_1,Name_2,Image1,Image2,Random,Order,
Alcohol,Scrambled,Location_4_Target_A_Scrambled,Location_4_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Location_4_Target_A,..\User\Pictures\Alcohol\Scrambled_Location_4_Control_A,0.023865481,1,
Social Networking,Unscrambled,Website_2_Target_SN,Website_2_Control_SN,..\User\Pictures\Social_Networking\Website_2_Target_SN,..\User\Pictures\Social_Networking\Website_2_Control_SN,0.026990945,2,
Alcohol,Scrambled,Location_1_Target_A_Scrambled,Location_1_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Location_1_Target_A,..\User\Pictures\Alcohol\Scrambled_Location_1_Control_A,0.188646983,3,
Social Networking,Scrambled,Phone_1_Target_SN_Scrambled,Phone_1_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Phone_1_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Phone_1_Control_SN,0.030445671,4,
Alcohol,Unscrambled,Poured_1_Target_A,Poured_1_Control_A,..\User\Pictures\Alcohol\Poured_1_Target_A,..\User\Pictures\Alcohol\Poured_1_Control_A,0.059379086,5,
Social Networking,Scrambled,Phone_4_Target_SN_Scrambled,Phone_4_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Phone_4_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Phone_4_Control_SN,0.063335041,6,
Alcohol,Unscrambled,Location_4_Target_A,Location_4_Control_A,..\User\Pictures\Alcohol\Location_4_Target_A,..\User\Pictures\Alcohol\Location_4_Control_A,0.066166088,7,
Alcohol,Unscrambled,Poured_3_Target_A,Poured_3_Control_A,..\User\Pictures\Alcohol\Poured_3_Target_A,..\User\Pictures\Alcohol\Poured_3_Control_A,0.068205754,8,
Social Networking,Unscrambled,Website_4_Target_SN,Website_4_Control_SN,..\User\Pictures\Social_Networking\Website_4_Target_SN,..\User\Pictures\Social_Networking\Website_4_Control_SN,0.070975165,9,
Alcohol,Scrambled,Social_5_Target_A_Scrambled,Social_5_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Social_5_Target_A,..\User\Pictures\Alcohol\Scrambled_Social_5_Control_A,0.09636974,10,
Alcohol,Scrambled,Social_4_Target_A_Scrambled,Social_4_Control_A_Scrambled,..\User\Pictures\Alcohol\Scrambled_Social_4_Target_A,..\User\Pictures\Alcohol\Scrambled_Social_4_Control_A,0.100927609,11,
Social Networking,Scrambled,Misc_2_Target_SN_Scrambled,Misc_2_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Misc_2_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Misc_2_Control_SN,0.101954374,12,
Alcohol,Unscrambled,Unopened_1_Target_A,Unopened_1_Control_A,..\User\Pictures\Alcohol\Unopened_1_Target_A,..\User\Pictures\Alcohol\Unopened_1_Control_A,0.119666411,13,
Social Networking,Unscrambled,Phone_5_Target_SN,Phone_5_Control_SN,..\User\Pictures\Social_Networking\Phone_5_Target_SN,..\User\Pictures\Social_Networking\Phone_5_Control_SN,0.156125875,14,
Alcohol,Unscrambled,Location_2_Target_A,Location_2_Control_A,..\User\Pictures\Alcohol\Location_2_Target_A,..\User\Pictures\Alcohol\Location_2_Control_A,0.166810372,15,
Social Networking,Scrambled,Website_1_Target_SN_Scrambled,Website_1_Control_SN_Scrambled,..\User\Pictures\Social_Networking\Scrambled_Website_1_Target_SN,..\User\Pictures\Social_Networking\Scrambled_Website_1_Control_SN,0.027358379,16,
