Task,Scrambled_Status,Name_1,Name_2,image_1,image_2,Random,Order,Target_Status_1,Target_Status_2,Category,Identifier,
Social Networking,Scrambled,Website_5_Target_SN_Scrambled,Website_5_Control_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Website_5_Target_SN.png,../User/Pictures/Social_Networking/Scrambled_Website_5_Control_SN.png,0.455249287,41,Target,Control,Website,,
Alcohol,Unscrambled,Location_3_Control_A,Location_3_Target_A,../User/Pictures/Alcohol/Location_3_Control_A.png,../User/Pictures/Alcohol/Location_3_Target_A.png,0.464347302,42,Control,Target,Location,Drums,
Alcohol,Scrambled,Unopened_5_Target_A_Scrambled,Unopened_5_Control_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Unopened_5_Target_A.png,../User/Pictures/Alcohol/Scrambled_Unopened_5_Control_A.png,0.335038776,43,Target,Control,Unopened,,
Social Networking,Unscrambled,Website_5_Control_SN,Website_5_Target_SN,../User/Pictures/Social_Networking/Website_5_Control_SN.png,../User/Pictures/Social_Networking/Website_5_Target_SN.png,0.523180373,44,Control,Target,Website,Pexels,
Alcohol,Scrambled,Unopened_2_Target_A_Scrambled,Unopened_2_Control_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Unopened_2_Target_A.png,../User/Pictures/Alcohol/Scrambled_Unopened_2_Control_A.png,0.806233903,45,Target,Control,Unopened,,
Social Networking,Scrambled,Icon_2_Control_SN_Scrambled,Icon_2_Target_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Icon_2_Control_SN.png,../User/Pictures/Social_Networking/Scrambled_Icon_2_Target_SN.png,0.506442548,46,Control,Target,Icon,,
Social Networking,Unscrambled,Icon_4_Target_SN,Icon_4_Control_SN,../User/Pictures/Social_Networking/Icon_4_Target_SN.png,../User/Pictures/Social_Networking/Icon_4_Control_SN.png,0.535022228,47,Target,Control,Icon,Messenger,
Alcohol,Scrambled,Social_2_Control_A_Scrambled,Social_2_Target_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Social_2_Control_A.png,../User/Pictures/Alcohol/Scrambled_Social_2_Target_A.png,0.537373383,48,Control,Target,Social,,
Social Networking,Scrambled,Icon_5_Control_SN_Scrambled,Icon_5_Target_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Icon_5_Control_SN.png,../User/Pictures/Social_Networking/Scrambled_Icon_5_Target_SN.png,0.539776064,49,Control,Target,Icon,,
Alcohol,Unscrambled,Social_5_Target_A,Social_5_Control_A,../User/Pictures/Alcohol/Social_5_Target_A.png,../User/Pictures/Alcohol/Social_5_Control_A.png,0.953775654,50,Target,Control,Social,Students,
