Task,Scrambled_Status,Name_1,Name_2,image_1,image_2,Random,Order,Target_Status_1,Target_Status_2,Category,Identifier,
Social Networking,Scrambled,Icon_1_Control_SN_Scrambled,Icon_1_Target_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Icon_1_Control_SN.png,../User/Pictures/Social_Networking/Scrambled_Icon_1_Target_SN.png,0.898268979,80,Control,Target,Icon,,
Alcohol,Unscrambled,Unopened_3_Target_A,Unopened_3_Control_A,../User/Pictures/Alcohol/Unopened_3_Target_A.png,../User/Pictures/Alcohol/Unopened_3_Control_A.png,0.978351557,79,Target,Control,Unopened,4_Drinks,
Alcohol,Scrambled,Poured_4_Control_A_Scrambled,Poured_4_Target_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Poured_4_Control_A.png,../User/Pictures/Alcohol/Scrambled_Poured_4_Target_A.png,0.595716622,78,Control,Target,Poured,,
Social Networking,Unscrambled,Misc_3_Control_SN,Misc_3_Target_SN,../User/Pictures/Social_Networking/Misc_3_Control_SN.png,../User/Pictures/Social_Networking/Misc_3_Target_SN.png,0.931397827,77,Control,Target,Misc,Batteries,
Social Networking,Scrambled,Icon_3_Target_SN_Scrambled,Icon_3_Control_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Icon_3_Target_SN.png,../User/Pictures/Social_Networking/Scrambled_Icon_3_Control_SN.png,0.829406677,76,Target,Control,Icon,,
Alcohol,Unscrambled,Unopened_5_Control_A,Unopened_5_Target_A,../User/Pictures/Alcohol/Unopened_5_Control_A.png,../User/Pictures/Alcohol/Unopened_5_Target_A.png,0.99735982,75,Control,Target,Unopened,Bookshelf,
Alcohol,Scrambled,Location_2_Target_A_Scrambled,Location_2_Control_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Location_2_Target_A.png,../User/Pictures/Alcohol/Scrambled_Location_2_Control_A.png,0.918020874,74,Target,Control,Location,,
Social Networking,Unscrambled,Website_3_Control_SN,Website_3_Target_SN,../User/Pictures/Social_Networking/Website_3_Control_SN.png,../User/Pictures/Social_Networking/Website_3_Target_SN.png,0.951300005,73,Control,Target,Website,Instagram_Website,
Alcohol,Scrambled,Location_3_Target_A_Scrambled,Location_3_Control_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Location_3_Target_A.png,../User/Pictures/Alcohol/Scrambled_Location_3_Control_A.png,0.877658468,72,Target,Control,Location,,
Social Networking,Unscrambled,Website_1_Target_SN,Website_1_Control_SN,../User/Pictures/Social_Networking/Website_1_Target_SN.png,../User/Pictures/Social_Networking/Website_1_Control_SN.png,0.842458716,71,Target,Control,Website,Travel_Website,
Alcohol,Scrambled,Unopened_3_Control_A_Scrambled,Unopened_3_Target_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Unopened_3_Control_A.png,../User/Pictures/Alcohol/Scrambled_Unopened_3_Target_A.png,0.872274402,70,Control,Target,Unopened,,
Social Networking,Unscrambled,Misc_1_Control_SN,Misc_1_Target_SN,../User/Pictures/Social_Networking/Misc_1_Control_SN.png,../User/Pictures/Social_Networking/Misc_1_Target_SN.png,0.855958299,69,Control,Target,Misc,Sand,
Alcohol,Scrambled,Poured_3_Target_A_Scrambled,Poured_3_Control_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Poured_3_Target_A.png,../User/Pictures/Alcohol/Scrambled_Poured_3_Control_A.png,0.850599763,68,Target,Control,Poured,,
Social Networking,Scrambled,Misc_3_Target_SN_Scrambled,Misc_3_Control_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Misc_3_Target_SN.png,../User/Pictures/Social_Networking/Scrambled_Misc_3_Control_SN.png,0.847477665,67,Target,Control,Misc,,
Alcohol,Unscrambled,Social_1_Control_A,Social_1_Target_A,../User/Pictures/Alcohol/Social_1_Control_A.png,../User/Pictures/Alcohol/Social_1_Target_A.png,0.866652096,66,Control,Target,Social,Shots,
Social Networking,Unscrambled,Icon_3_Target_SN,Icon_3_Control_SN,../User/Pictures/Social_Networking/Icon_3_Target_SN.png,../User/Pictures/Social_Networking/Icon_3_Control_SN.png,0.926202262,65,Target,Control,Icon,Deer,
Alcohol,Scrambled,Location_5_Control_A_Scrambled,Location_5_Target_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Location_5_Control_A.png,../User/Pictures/Alcohol/Scrambled_Location_5_Target_A.png,0.829134357,64,Control,Target,Location,,
Social Networking,Scrambled,Phone_3_Target_SN_Scrambled,Phone_3_Control_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Phone_3_Target_SN.png,../User/Pictures/Social_Networking/Scrambled_Phone_3_Control_SN.png,0.723777123,63,Target,Control,Phone,,
Alcohol,Unscrambled,Unopened_4_Control_A,Unopened_4_Target_A,../User/Pictures/Alcohol/Unopened_4_Control_A.png,../User/Pictures/Alcohol/Unopened_4_Target_A.png,0.271173039,62,Control,Target,Unopened,Hot_Wheels,
Social Networking,Scrambled,Misc_5_Target_SN_Scrambled,Misc_5_Control_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Misc_5_Target_SN.png,../User/Pictures/Social_Networking/Scrambled_Misc_5_Control_SN.png,0.735848671,61,Target,Control,Misc,,
Social Networking,Scrambled,Website_3_Control_SN_Scrambled,Website_3_Target_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Website_3_Control_SN.png,../User/Pictures/Social_Networking/Scrambled_Website_3_Target_SN.png,0.725385882,60,Control,Target,Website,,
Alcohol,Unscrambled,Social_3_Control_A,Social_3_Target_A,../User/Pictures/Alcohol/Social_3_Control_A.png,../User/Pictures/Alcohol/Social_3_Target_A.png,0.810596627,59,Control,Target,Social,Women,
Social Networking,Unscrambled,Misc_5_Target_SN,Misc_5_Control_SN,../User/Pictures/Social_Networking/Misc_5_Target_SN.png,../User/Pictures/Social_Networking/Misc_5_Control_SN.png,0.723434536,58,Target,Control,Misc,Scrabble,
Alcohol,Scrambled,Poured_5_Target_A_Scrambled,Poured_5_Control_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Poured_5_Target_A.png,../User/Pictures/Alcohol/Scrambled_Poured_5_Control_A.png,0.717288937,57,Target,Control,Poured,,
Social Networking,Scrambled,Website_2_Control_SN_Scrambled,Website_2_Target_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Website_2_Control_SN.png,../User/Pictures/Social_Networking/Scrambled_Website_2_Target_SN.png,0.710318634,56,Control,Target,Website,,
Alcohol,Unscrambled,Poured_2_Target_A,Poured_2_Control_A,../User/Pictures/Alcohol/Poured_2_Target_A.png,../User/Pictures/Alcohol/Poured_2_Control_A.png,0.680065572,55,Target,Control,Poured,Cress,
