Task,Scrambled_Status,Name_1,Name_2,image_1,image_2,Random,Order,Target_Status_1,Target_Status_2,Category,Identifier,
Clouds,x,Practice_Scrambled_1,Practice_Scrambled_2,../User/Pictures/Practice_Scrambled_1.png,../User/Pictures/Practice_Scrambled_2.png,0,0,x,x,Clouds,,
Clouds,x,Practice_1,Practice_2,../User/Pictures/Practice_1.png,../User/Pictures/Practice_2.png,0,0,x,x,Clouds,,
Alcohol,Scrambled,Location_4_Control_A_Scrambled,Location_4_Target_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Location_4_Control_A.png,../User/Pictures/Alcohol/Scrambled_Location_4_Target_A.png,0.023865481,1,Control,Target,Location,,
Social Networking,Unscrambled,Website_2_Control_SN,Website_2_Target_SN,../User/Pictures/Social_Networking/Website_2_Control_SN.png,../User/Pictures/Social_Networking/Website_2_Target_SN.png,0.026990945,2,Control,Target,Website,Marathon,
Alcohol,Unscrambled,Unopened_1_Target_A,Unopened_1_Control_A,../User/Pictures/Alcohol/Unopened_1_Target_A.png,../User/Pictures/Alcohol/Unopened_1_Control_A.png,0.119666411,3,Target,Control,Unopened,Tools,
Social Networking,Scrambled,Phone_1_Target_SN_Scrambled,Phone_1_Control_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Phone_1_Target_SN.png,../User/Pictures/Social_Networking/Scrambled_Phone_1_Control_SN.png,0.030445671,4,Target,Control,Phone,,
Alcohol,Unscrambled,Poured_1_Control_A,Poured_1_Target_A,../User/Pictures/Alcohol/Poured_1_Control_A.png,../User/Pictures/Alcohol/Poured_1_Target_A.png,0.059379086,5,Control,Target,Poured,Salad,
Social Networking,Scrambled,Phone_4_Target_SN_Scrambled,Phone_4_Control_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Phone_4_Target_SN.png,../User/Pictures/Social_Networking/Scrambled_Phone_4_Control_SN.png,0.063335041,6,Target,Control,Phone,,
Alcohol,Unscrambled,Location_4_Control_A,Location_4_Target_A,../User/Pictures/Alcohol/Location_4_Control_A.png,../User/Pictures/Alcohol/Location_4_Target_A.png,0.066166088,7,Control,Target,Location,Shop,
Alcohol,Scrambled,Social_4_Target_A_Scrambled,Social_4_Control_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Social_4_Target_A.png,../User/Pictures/Alcohol/Scrambled_Social_4_Control_A.png,0.100927609,8,Target,Control,Social,,
Social Networking,Unscrambled,Website_4_Control_SN,Website_4_Target_SN,../User/Pictures/Social_Networking/Website_4_Control_SN.png,../User/Pictures/Social_Networking/Website_4_Target_SN.png,0.070975165,9,Control,Target,Website,Graph,
Alcohol,Scrambled,Social_5_Control_A_Scrambled,Social_5_Target_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Social_5_Control_A.png,../User/Pictures/Alcohol/Scrambled_Social_5_Target_A.png,0.09636974,10,Control,Target,Social,,
Alcohol,Unscrambled,Poured_3_Target_A,Poured_3_Control_A,../User/Pictures/Alcohol/Poured_3_Target_A.png,../User/Pictures/Alcohol/Poured_3_Control_A.png,0.068205754,11,Target,Control,Poured,Wine,
Social Networking,Scrambled,Misc_2_Control_SN_Scrambled,Misc_2_Target_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Misc_2_Control_SN.png,../User/Pictures/Social_Networking/Scrambled_Misc_2_Target_SN.png,0.101954374,12,Control,Target,Misc,,
Alcohol,Scrambled,Location_1_Target_A_Scrambled,Location_1_Control_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Location_1_Target_A.png,../User/Pictures/Alcohol/Scrambled_Location_1_Control_A.png,0.188646983,13,Target,Control,Location,,
Social Networking,Unscrambled,Phone_5_Control_SN,Phone_5_Target_SN,../User/Pictures/Social_Networking/Phone_5_Control_SN.png,../User/Pictures/Social_Networking/Phone_5_Target_SN.png,0.156125875,14,Control,Target,Phone,Google,
Alcohol,Unscrambled,Location_2_Target_A,Location_2_Control_A,../User/Pictures/Alcohol/Location_2_Target_A.png,../User/Pictures/Alcohol/Location_2_Control_A.png,0.166810372,15,Target,Control,Location,Motorway,
Social Networking,Scrambled,Website_1_Control_SN_Scrambled,Website_1_Target_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Website_1_Control_SN.png,../User/Pictures/Social_Networking/Scrambled_Website_1_Target_SN.png,0.027358379,16,Control,Target,Website,,
Alcohol,Unscrambled,Location_1_Target_A,Location_1_Control_A,../User/Pictures/Alcohol/Location_1_Target_A.png,../User/Pictures/Alcohol/Location_1_Control_A.png,0.198334642,17,Target,Control,Location,Neon,
Social Networking,Unscrambled,Misc_2_Control_SN,Misc_2_Target_SN,../User/Pictures/Social_Networking/Misc_2_Control_SN.png,../User/Pictures/Social_Networking/Misc_2_Target_SN.png,0.227995904,18,Control,Target,Misc,Clips,
Social Networking,Scrambled,Misc_1_Target_SN_Scrambled,Misc_1_Control_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Misc_1_Target_SN.png,../User/Pictures/Social_Networking/Scrambled_Misc_1_Control_SN.png,0.233790555,19,Target,Control,Misc,,
Alcohol,Scrambled,Unopened_4_Target_A_Scrambled,Unopened_4_Control_A_Scrambled,../User/Pictures/Alcohol/Scrambled_Unopened_4_Target_A.png,../User/Pictures/Alcohol/Scrambled_Unopened_4_Control_A.png,0.241421912,20,Target,Control,Unopened,,
Alcohol,Unscrambled,Poured_5_Control_A,Poured_5_Target_A,../User/Pictures/Alcohol/Poured_5_Control_A.png,../User/Pictures/Alcohol/Poured_5_Target_A.png,0.345222042,21,Control,Target,Poured,Christmas_Tree,
Social Networking,Unscrambled,Phone_2_Control_SN,Phone_2_Target_SN,../User/Pictures/Social_Networking/Phone_2_Control_SN.png,../User/Pictures/Social_Networking/Phone_2_Target_SN.png,0.245434122,22,Control,Target,Phone,Pink_Insta,
Social Networking,Scrambled,Website_4_Target_SN_Scrambled,Website_4_Control_SN_Scrambled,../User/Pictures/Social_Networking/Scrambled_Website_4_Target_SN.png,../User/Pictures/Social_Networking/Scrambled_Website_4_Control_SN.png,0.361046363,23,Target,Control,Website,,
