item_name,text,type,answers,values,score: mce_total,optional,btn_width,
Instructions1,"<span style='color:#006699'><span style='font-size:20px'>For the following items, please reply from 0 (not at all like me)to 5 (very much like me) </span></span>",instruct,,,,,,
pni1,1. I can usually talk my way out of anything.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni2,"2. When people don’t notice me, I start to feel bad about myself.",likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni3,3. I often hide my needs for fear that others will see me as needy and desperate.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni4,4. I can make anyone believe anything I want them to.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni5,5. I get annoyed by people who are not interested in what I say or do.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni6,6. I find it easy to manipulate people.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni7,7. Sometimes I avoid people because I’m concerned that they’ll disappoint me.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni8,8. I typically get very angry when I’m unable to get what I want from others.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni9,"9. When others don’t meet my expectations, I often feel ashamed about what I wanted.",likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni10,10. I feel important when others rely on me.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni11,11. I can read people like a book.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni12,12. Sacrificing for others makes me the better person.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni13,13. I often fantasize about accomplishing things that are probably beyond my means.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni14,14. Sometimes I avoid people because I’m afraid they won’t do what I want them to do.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni15,15. It’s hard to show others the weaknesses I feel inside.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni16,16. It’s hard to feel good about myself unless I know other people admire me.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni17,17. I often fantasize about being rewarded for my efforts.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni18,18. I am preoccupied with thoughts and concerns that most people are not interested in me.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni19,19. I like to have friends who rely on me because it makes me feel important.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni20,20. Sometimes I avoid people because I’m concerned they won’t acknowledge what I do for them.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni21,21. It’s hard for me to feel good about myself unless I know other people like me.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni22,22. It irritates me when people don’t notice how good a person I am.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni23,23. I will never be satisfied until I get all that I deserve.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni24,24. I try to show what a good person I am through my sacrifices.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni25,25. I often fantasize about performing heroic deeds.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni26,26. I often fantasize about being recognized for my accomplishments.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni27,27. I can’t stand relying on other people because it makes me feel weak.,likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
pni28,"28. When others get a glimpse of my needs, I feel anxious and ashamed.",likert,Not at all like me|1|2|3|4|Very much like me,0|1|2|3|4|5,0|1|2|3|4|5,No,100px,
,,,,,,,,
